                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
 1.191371381361e-004	 1.400780090853e-004	 8.923931676644e-004	 1.826668063882e-003	 9.767886029077e+000	 1.804108162521e-010	-4.547751572123e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.189222729789e-004	 1.399705763584e-004	 8.922857335516e-004	 1.826668060517e-003	 9.767318264861e+000	 1.806460762534e-010	-4.567488154252e+000	 0.000000000000e+000	 1.124193813335e-004	
 1.147812080868e-004	 1.617711247930e-004	 8.491706098632e-004	 1.792321042361e-003	 9.759019488083e+000	 1.840425431772e-010	 8.286910139672e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.145039482526e-004	 1.616324946249e-004	 8.490319780414e-004	 1.792321038049e-003	 9.758255610275e+000	 1.843655352168e-010	 8.246244924369e+000	 0.000000000000e+000	 1.115132053030e-004	
 1.105827916118e-004	 1.883817701871e-004	 7.988906058733e-004	 1.753379160282e-003	 9.750610261209e+000	 1.875388366253e-010	-4.833650495165e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.103079526242e-004	 1.882443503725e-004	 7.987531845869e-004	 1.753379156055e-003	 9.749821297275e+000	 1.878788068476e-010	-4.862219321366e+000	 0.000000000000e+000	 1.104663412679e-004	
 1.069676919715e-004	 2.190597307226e-004	 7.427493582317e-004	 1.709682787146e-003	 9.743937569021e+000	 1.903286481262e-010	-4.887091165946e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.066988443879e-004	 2.189253065371e-004	 7.426149328006e-004	 1.709682783080e-003	 9.743137439691e+000	 1.906785799463e-010	-4.898550293462e+000	 0.000000000000e+000	 1.089984767400e-004	
 1.048211696334e-004	 2.424742774076e-004	 6.929236687977e-004	 1.661153547795e-003	 9.741374067827e+000	 1.913334380895e-010	-5.013948623514e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.035415367480e-004	 2.566150764555e-004	 6.775032255088e-004	 1.661153525085e-003	 9.738114459279e+000	 1.927697826991e-010	-5.014505953927e+000	 1.426360997788e-004	 3.397093320770e-005	
 1.043887205094e-004	 2.506478442487e-004	 6.576436800868e-004	 1.607805603487e-003	 9.743573280744e+000	 1.902389322575e-010	 8.139173302337e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.043957540833e-004	 2.506548778317e-004	 6.576436801276e-004	 1.607805603587e-003	 9.743594881042e+000	 1.902294992465e-010	 8.188630069959e+000	 2.079751161631e-004	 0.000000000000e+000	
 1.052056559329e-004	 2.447404185687e-004	 6.353423878283e-004	 1.549754297700e-003	 9.749239952703e+000	 1.876379281652e-010	-4.420158774224e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.051986446603e-004	 2.447334072876e-004	 6.353423877891e-004	 1.549754297604e-003	 9.749218605442e+000	 1.876471226915e-010	-4.423766561740e+000	 2.079603017856e-004	 0.000000000000e+000	
 1.060670813381e-004	 2.385052098886e-004	 6.111726020348e-004	 1.487221458673e-003	 9.755321063569e+000	 1.848826769120e-010	 8.242198641007e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.060589294588e-004	 2.384970579998e-004	 6.111726019910e-004	 1.487221458566e-003	 9.755296468207e+000	 1.848931136634e-010	 8.253441881217e+000	 2.079114049393e-004	 0.000000000000e+000	
 1.069807755709e-004	 2.320085311553e-004	 5.852406673772e-004	 1.420536843983e-003	 9.761832188913e+000	 1.819745295323e-010	-3.480863735065e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.069719770697e-004	 2.319997326445e-004	 5.852406673319e-004	 1.420536843873e-003	 9.761805896087e+000	 1.819855096113e-010	-1.865137327308e+000	 2.078593450071e-004	 0.000000000000e+000	
 1.079274361165e-004	 2.253524870601e-004	 5.576425865295e-004	 1.350135273421e-003	 9.768704502327e+000	 1.789504621258e-010	 8.394709281563e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.079180442377e-004	 2.253430951717e-004	 5.576425864836e-004	 1.350135273310e-003	 9.768676712363e+000	 1.789618728355e-010	 8.391310136268e+000	 2.078050680956e-004	 0.000000000000e+000	
 1.089037138897e-004	 2.185859310623e-004	 5.285924839093e-004	 1.276549400941e-003	 9.775908778381e+000	 1.758300012319e-010	 8.409634697448e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.088938383359e-004	 2.185760554990e-004	 5.285924838636e-004	 1.276549400831e-003	 9.775879852091e+000	 1.758416694244e-010	 8.407638463951e+000	 2.077491914629e-004	 0.000000000000e+000	
 1.099033981729e-004	 2.117668565515e-004	 4.983356551046e-004	 1.200398225956e-003	 9.783402134011e+000	 1.726375765721e-010	 8.227719417279e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.098932181256e-004	 2.117566764951e-004	 4.983356550602e-004	 1.200398225849e-003	 9.783372622421e+000	 1.726492624897e-010	 8.186252625206e+000	 2.076925719080e-004	 0.000000000000e+000	
 1.109177878128e-004	 2.049589231329e-004	 4.671447284656e-004	 1.122371726706e-003	 9.791129551718e+000	 1.694013195505e-010	 8.375679149836e+000	 0.000000000000e+000	 0.000000000000e+000	
